category_id,uom_id,name,slug,description,thumbnail,price,is_active
1,1,"Bayam Hijau",bayam-hijau,"Bayam hijau segar per ikat.",bayam-hijau.jpg,3000,1
1,1,Kangkung,kangkung,"Kangkung darat segar.",kangkung.jpg,3000,1
1,2,Wortel,wortel,"Wortel lokal manis segar.",wortel.jpg,12000,1
1,2,Kentang,kentang,"Kentang dieng ukuran sedang.",kentang.jpg,18000,1
1,2,"Kubis / Kol",kubis-kol,"Kubis putih segar.",kubis.jpg,10000,1
1,2,Brokoli,brokoli,"Brokoli hijau segar.",brokoli.jpg,25000,1
1,2,"Kembang Kol",kembang-kol,"Kembang kol putih padat.",kembang-kol.jpg,22000,1
1,2,"Tomat Merah",tomat-merah,"Tomat buah segar manis.",tomat.jpg,14000,1
1,2,Mentimun,mentimun,"Timun lokal renyah.",mentimun.jpg,8000,1
1,2,"Terong Ungu",terong-ungu,"Terong ungu segar.",terong-ungu.jpg,10000,1
1,1,"Sawi Hijau / Caisim",sawi-hijau,"Sawi hijau untuk mie/bakso.",sawi-hijau.jpg,4000,1
1,1,"Sawi Putih",sawi-putih,"Sawi putih segar.",sawi-putih.jpg,11000,1
1,1,"Daun Bawang",daun-bawang,"Daun bawang segar per ikat.",daun-bawang.jpg,5000,1
1,1,Seledri,seledri,"Seledri harum segar.",seledri.jpg,5000,1
1,2,Buncis,buncis,"Buncis muda manis.",buncis.jpg,14000,1
1,2,"Kacang Panjang",kacang-panjang,"Kacang panjang segar per ikat.",kacang-panjang.jpg,6000,1
1,2,"Labu Siam",labu-siam,"Labu siam manis.",labu-siam.jpg,7000,1
1,2,Pare,pare,"Pare hijau segar.",pare.jpg,9000,1
1,3,"Jamur Tiram",jamur-tiram,"Jamur tiram putih per pack.",jamur-tiram.jpg,8000,1
1,3,"Jamur Enoki",jamur-enoki,"Jamur enoki impor per pack.",jamur-enoki.jpg,7000,1
1,3,"Tauge / Kecambah",tauge,"Tauge kedelai/kacang hijau segar.",tauge.jpg,4000,1
1,2,"Paprika Merah",paprika-merah,"Paprika merah segar.",paprika-merah.jpg,45000,1
1,2,"Paprika Hijau",paprika-hijau,"Paprika hijau segar.",paprika-hijau.jpg,38000,1
1,2,Zucchini,zucchini,"Zucchini hijau segar.",zucchini.jpg,28000,1
1,1,"Selada Keriting",selada-keriting,"Selada hijau untuk salad.",selada.jpg,15000,1
2,2,"Pisang Cavendish",pisang-cavendish,"Pisang manis kaya kalium.",pisang-cavendish.jpg,22000,1
2,2,"Apel Fuji",apel-fuji,"Apel fuji mani manis dan renyah.",apel-fuji.jpg,35000,1
2,2,"Jeruk Siam",jeruk-siam,"Jeruk siam manis berkulit tipis.",jeruk-siam.jpg,20000,1
2,2,"Mangga Harum Manis",mangga-harum-manis,"Mangga matang pohon manis.",mangga.jpg,28000,1
2,2,"Alpukat Mentega",alpukat-mentega,"Alpukat berdaging tebal.",alpukat.jpg,32000,1
2,2,"Semangka Merah Tanpa Biji",semangka-merah,"Semangka segar dan manis.",semangka.jpg,10000,1
2,2,"Melon Hijau",melon-hijau,"Melon manis berdaging hijau.",melon.jpg,15000,1
2,2,"Nanas Honi",nanas-honi,"Nanas manis tidak gatal di lidah.",nanas.jpg,18000,1
2,2,"Anggur Red Globe",anggur-red-globe,"Anggur merah manis manis.",anggur.jpg,60000,1
2,3,Stroberi,stroberi,"Stroberi manis asam per pack.",stroberi.jpg,20000,1
2,2,"Buah Naga Merah",buah-naga-merah,"Buah naga manis segar.",buah-naga.jpg,22000,1
2,2,"Pepaya Calina (California)",pepaya-california,"Pepaya manis manis.",pepaya.jpg,9000,1
2,2,"Pear Century",pear-century,"Pir renyah banyak air.",pear.jpg,26000,1
2,2,"Salak Pondoh",salak-pondoh,"Salak manis dan renyah.",salak.jpg,14000,1
